# a		b		mid		f(mid)
-2 -1.5 -1.75 -0.859375
-1.75 -1.5 -1.625 -0.0410156
-1.625 -1.5 -1.5625 0.310303
-1.625 -1.5625 -1.59375 0.139313
-1.625 -1.59375 -1.60938 0.0503273
-1.625 -1.60938 -1.61719 0.00495195
-1.625 -1.61719 -1.62109 -0.0179576
-1.62109 -1.61719 -1.61914 -0.00648431
-1.61914 -1.61719 -1.61816 -0.000761547
-1.61816 -1.61719 -1.61768 0.00209636
-1.61816 -1.61768 -1.61792 0.000667696
-1.61816 -1.61792 -1.61804 -4.68533e-05
-1.61804 -1.61792 -1.61798 0.000310439
-1.61804 -1.61798 -1.61801 0.000131798
-1.61804 -1.61801 -1.61803 4.24733e-05
-1.61804 -1.61803 -1.61803 -2.18969e-06
-1.61803 -1.61803 -1.61803 2.01419e-05
-1.61803 -1.61803 -1.61803 8.97612e-06
-1.61803 -1.61803 -1.61803 3.39322e-06
-1.61803 -1.61803 -1.61803 6.01767e-07
-1.61803 -1.61803 -1.61803 -7.9396e-07
-1.61803 -1.61803 -1.61803 -9.60963e-08
-1.61803 -1.61803 -1.61803 2.52835e-07
-1.61803 -1.61803 -1.61803 7.83695e-08
-1.61803 -1.61803 -1.61803 -8.86337e-09
-1.61803 -1.61803 -1.61803 3.47531e-08
-1.61803 -1.61803 -1.61803 1.29449e-08
-1.61803 -1.61803 -1.61803 2.04075e-09
-1.61803 -1.61803 -1.61803 -3.41131e-09
-1.61803 -1.61803 -1.61803 -6.85282e-10
0.381966 0.881966 0.631966 -0.0115368
0.381966 0.631966 0.506966 0.116366
0.506966 0.631966 0.569466 0.045741
0.569466 0.631966 0.600716 0.0153422
0.600716 0.631966 0.616341 0.00145128
0.616341 0.631966 0.624154 -0.00515703
0.616341 0.624154 0.620247 -0.00188127
0.616341 0.620247 0.618294 -0.000222067
0.616341 0.618294 0.617318 0.000612842
0.617318 0.618294 0.617806 0.000194946
0.617806 0.618294 0.61805 -1.36713e-05
0.617806 0.61805 0.617928 9.06095e-05
0.617928 0.61805 0.617989 3.84622e-05
0.617989 0.61805 0.618019 1.23937e-05
0.618019 0.61805 0.618035 -6.39239e-07
0.618019 0.618035 0.618027 5.87713e-06
0.618027 0.618035 0.618031 2.61892e-06
0.618031 0.618035 0.618033 9.89833e-07
0.618033 0.618035 0.618034 1.75296e-07
0.618034 0.618035 0.618034 -2.31972e-07
0.618034 0.618034 0.618034 -2.83383e-08
0.618034 0.618034 0.618034 7.34786e-08
0.618034 0.618034 0.618034 2.25702e-08
0.618034 0.618034 0.618034 -2.88404e-09
0.618034 0.618034 0.618034 9.84307e-09
0.618034 0.618034 0.618034 3.47952e-09
0.618034 0.618034 0.618034 2.97741e-10
0.618034 1.11803 0.868034 -0.0820191
0.868034 1.11803 0.993034 -0.00682077
0.993034 1.11803 1.05553 0.0649573
0.993034 1.05553 1.02428 0.0260674
0.993034 1.02428 1.00866 0.00888458
0.993034 1.00866 1.00085 0.000848642
0.993034 1.00085 0.99694 -0.0030317
0.99694 1.00085 0.998893 -0.00110296
0.998893 1.00085 0.99987 -0.00013002
0.99987 1.00085 1.00036 0.000358596
0.99987 1.00036 1.00011 0.000114109
0.99987 1.00011 0.999992 -7.99987e-06
0.999992 1.00011 1.00005 5.30435e-05
0.999992 1.00005 1.00002 2.2519e-05
0.999992 1.00002 1.00001 7.25889e-06
0.999992 1.00001 1 -3.70666e-07
1 1.00001 1 3.44407e-06
1 1 1 1.53669e-06
1 1 1 5.83009e-07
1 1 1 1.06171e-07
1 1 1 -1.32248e-07
1 1 1 -1.30385e-08
1 1 1 4.65661e-08
1 1 1 1.67638e-08
1 1 1 1.86265e-09
1 1 1 -5.58794e-09
1 1 1 -1.86265e-09
1 1 1 0
