# a		b		mid		f(mid)
-1.5 -1 -1.25 -0.148985
-1.25 -1 -1.125 -0.0133787
-1.125 -1 -1.0625 0.0676015
-1.125 -1.0625 -1.09375 0.0259307
-1.125 -1.09375 -1.10938 0.00598785
-1.125 -1.10938 -1.11719 -0.00376663
-1.11719 -1.10938 -1.11328 0.00109271
-1.11719 -1.11328 -1.11523 -0.00134143
-1.11523 -1.11328 -1.11426 -0.000125476
-1.11426 -1.11328 -1.11377 0.000483336
-1.11426 -1.11377 -1.11401 0.00017886
-1.11426 -1.11401 -1.11414 2.66742e-05
-1.11426 -1.11414 -1.1142 -4.94055e-05
-1.1142 -1.11414 -1.11417 -1.13667e-05
-1.11417 -1.11414 -1.11415 7.65349e-06
-1.11417 -1.11415 -1.11416 -1.85667e-06
-1.11416 -1.11415 -1.11415 2.89839e-06
-1.11416 -1.11415 -1.11416 5.20854e-07
-1.11416 -1.11416 -1.11416 -6.67911e-07
-1.11416 -1.11416 -1.11416 -7.35288e-08
-1.11416 -1.11416 -1.11416 2.23663e-07
-1.11416 -1.11416 -1.11416 7.50669e-08
-1.11416 -1.11416 -1.11416 7.69042e-10
-0.114157 0.385843 0.135843 -7.22602
-0.114157 0.135843 0.0108429 -92.2152
-0.114157 0.0108429 -0.0516571 19.3068
-0.0516571 0.0108429 -0.0204071 48.9822
-0.0204071 0.0108429 -0.00478208 209.109
-0.00478208 0.0108429 0.00303042 -329.984
-0.00478208 0.00303042 -0.000875831 1141.77
-0.000875831 0.00303042 0.00107729 -928.25
-0.000875831 0.00107729 0.000100732 -9927.35
-0.000875831 0.000100732 -0.000387549 2580.32
-0.000387549 0.000100732 -0.000143409 6973.07
-0.000143409 0.000100732 -2.13385e-05 46863.7
-2.13385e-05 0.000100732 3.96967e-05 -25191
-2.13385e-05 3.96967e-05 9.17912e-06 -108943
-2.13385e-05 9.17912e-06 -6.07967e-06 164483
-6.07967e-06 9.17912e-06 1.54972e-06 -645278
-6.07967e-06 1.54972e-06 -2.26498e-06 441506
-2.26498e-06 1.54972e-06 -3.57628e-07 2.7962e+06
-3.57628e-07 1.54972e-06 5.96046e-07 -1.67772e+06
-3.57628e-07 5.96046e-07 1.19209e-07 -8.38861e+06
-3.57628e-07 1.19209e-07 -1.19209e-07 8.38861e+06
-1.19209e-07 1.19209e-07 0 -inf
-1.19209e-07 0 -5.96046e-08 1.67772e+07
-5.96046e-08 0 -2.98023e-08 3.35544e+07
-2.98023e-08 0 -1.49012e-08 6.71089e+07
-1.49012e-08 0 -7.45058e-09 1.34218e+08
-7.45058e-09 0 -3.72529e-09 2.68435e+08
-3.72529e-09 0 -1.86265e-09 5.36871e+08
-1.86265e-09 0 -9.31323e-10 1.07374e+09
-9.31323e-10 0 -4.65661e-10 2.14748e+09
1 1.5 1.25 0.148985
1 1.25 1.125 0.0133787
1 1.125 1.0625 -0.0676015
1.0625 1.125 1.09375 -0.0259307
1.09375 1.125 1.10938 -0.00598785
1.10938 1.125 1.11719 0.00376663
1.10938 1.11719 1.11328 -0.00109271
1.11328 1.11719 1.11523 0.00134143
1.11328 1.11523 1.11426 0.000125476
1.11328 1.11426 1.11377 -0.000483336
1.11377 1.11426 1.11401 -0.00017886
1.11401 1.11426 1.11414 -2.66742e-05
1.11414 1.11426 1.1142 4.94055e-05
1.11414 1.1142 1.11417 1.13667e-05
1.11414 1.11417 1.11415 -7.65349e-06
1.11415 1.11417 1.11416 1.85667e-06
1.11415 1.11416 1.11415 -2.89839e-06
1.11415 1.11416 1.11416 -5.20854e-07
1.11416 1.11416 1.11416 6.67911e-07
1.11416 1.11416 1.11416 7.35288e-08
1.11416 1.11416 1.11416 -2.23663e-07
1.11416 1.11416 1.11416 -7.50669e-08
1.11416 1.11416 1.11416 -7.69042e-10
