For 4th degree Polynomial
x,arctan(x),obtained_value,(arctan(x) - obtained_value)
0,0,-0.0308141,0.0308141
0.25,0.244979,0.245822,-0.000843724
0.5,0.463648,0.468137,-0.00448918
0.75,0.643501,0.645263,-0.00176205
1,0.785398,0.785398,0
1.25,0.896055,0.895801,0.000254319
1.5,0.982794,0.982794,0
1.75,1.05165,1.05176,-0.000110377
2,1.10715,1.10715,0
2.25,1.15257,1.15247,0.000104241
2.5,1.19029,1.19029,0
2.75,1.22203,1.22225,-0.000224819
3,1.24905,1.24905,0
3.25,1.2723,1.27044,0.00186052
3.5,1.2925,1.28525,0.00725058
3.75,1.31019,1.29136,0.0188353
4,1.32582,1.28572,0.0400953
4.25,1.33971,1.26435,0.075358
4.5,1.35213,1.22231,0.12982
4.75,1.3633,1.15374,0.209562
5,1.3734,1.05184,0.321564
5.25,1.38257,0.908864,0.473711
5.5,1.39094,0.716145,0.674798
5.75,1.39861,0.464064,0.934542
6,1.40565,0.14207,1.26358
6.25,1.41214,-0.261325,1.67347
6.5,1.41815,-0.758548,2.17669
6.75,1.42372,-1.36296,2.78668
7,1.4289,-2.08887,3.51777
7.25,1.43373,-2.95151,4.38524
7.5,1.43824,-3.96705,5.40529
7.75,1.44247,-5.15261,6.59509
8,1.44644,-6.52625,7.97269
