t,x(t)
0,0
0.0005,0.000565333
0.001,0.0011307
0.0015,0.0016961
0.002,0.00226153
0.0025,0.00282699
0.003,0.00339249
0.0035,0.00395801
0.004,0.00452357
0.0045,0.00508916
0.005,0.00565478
0.0055,0.00622044
0.006,0.00678612
0.0065,0.00735184
0.007,0.00791759
0.0075,0.00848337
0.008,0.00904918
0.0085,0.00961502
0.009,0.0101809
0.0095,0.0107468
0.01,0.0113127
0.0105,0.0118787
0.011,0.0124447
0.0115,0.0130107
0.012,0.0135768
0.0125,0.0141428
0.013,0.014709
0.0135,0.0152751
0.014,0.0158413
0.0145,0.0164075
0.015,0.0169737
0.0155,0.01754
0.016,0.0181063
0.0165,0.0186726
0.017,0.0192389
0.0175,0.0198053
0.018,0.0203717
0.0185,0.0209382
0.019,0.0215046
0.0195,0.0220711
0.02,0.0226376
0.0205,0.0232042
0.021,0.0237708
0.0215,0.0243374
0.022,0.024904
0.0225,0.0254707
0.023,0.0260374
0.0235,0.0266041
0.024,0.0271708
0.0245,0.0277376
0.025,0.0283044
0.0255,0.0288712
0.026,0.0294381
0.0265,0.030005
0.027,0.0305719
0.0275,0.0311388
0.028,0.0317058
0.0285,0.0322727
0.029,0.0328398
0.0295,0.0334068
0.03,0.0339739
0.0305,0.034541
0.031,0.0351081
0.0315,0.0356752
0.032,0.0362424
0.0325,0.0368096
0.033,0.0373768
0.0335,0.037944
0.034,0.0385113
0.0345,0.0390786
0.035,0.0396459
0.0355,0.0402133
0.036,0.0407807
0.0365,0.0413481
0.037,0.0419155
0.0375,0.0424829
0.038,0.0430504
0.0385,0.0436179
0.039,0.0441854
0.0395,0.0447529
0.04,0.0453205
0.0405,0.0458881
0.041,0.0464557
0.0415,0.0470233
0.042,0.047591
0.0425,0.0481587
0.043,0.0487264
0.0435,0.0492941
0.044,0.0498619
0.0445,0.0504297
0.045,0.0509975
0.0455,0.0515653
0.046,0.0521331
0.0465,0.052701
0.047,0.0532689
0.0475,0.0538368
0.048,0.0544047
0.0485,0.0549727
0.049,0.0555407
0.0495,0.0561087
0.05,0.0566767
0.0505,0.0572447
0.051,0.0578128
0.0515,0.0583809
0.052,0.058949
0.0525,0.0595171
0.053,0.0600852
0.0535,0.0606534
0.054,0.0612216
0.0545,0.0617898
0.055,0.062358
0.0555,0.0629263
0.056,0.0634946
0.0565,0.0640629
0.057,0.0646312
0.0575,0.0651995
0.058,0.0657679
0.0585,0.0663362
0.059,0.0669046
0.0595,0.067473
0.06,0.0680415
0.0605,0.0686099
0.061,0.0691784
0.0615,0.0697469
0.062,0.0703154
0.0625,0.0708839
0.063,0.0714524
0.0635,0.072021
0.064,0.0725896
0.0645,0.0731582
0.065,0.0737268
0.0655,0.0742954
0.066,0.0748641
0.0665,0.0754328
0.067,0.0760015
0.0675,0.0765702
0.068,0.0771389
0.0685,0.0777076
0.069,0.0782764
0.0695,0.0788452
0.07,0.079414
0.0705,0.0799828
0.071,0.0805516
0.0715,0.0811204
0.072,0.0816893
0.0725,0.0822582
0.073,0.0828271
0.0735,0.083396
0.074,0.0839649
0.0745,0.0845338
0.075,0.0851028
0.0755,0.0856718
0.076,0.0862408
0.0765,0.0868098
0.077,0.0873788
0.0775,0.0879478
0.078,0.0885169
0.0785,0.0890859
0.079,0.089655
0.0795,0.0902241
0.08,0.0907932
0.0805,0.0913624
0.081,0.0919315
0.0815,0.0925007
0.082,0.0930698
0.0825,0.093639
0.083,0.0942082
0.0835,0.0947774
0.084,0.0953466
